Product,Description,Features,Supplier Note,Polished,Source
Next Level 7200,"A unisex heavyweight tee in substantial 6.8 oz. 100% US combed ring-spun cotton with a structured, relaxed fit. A raised 1-inch collar, dropped shoulders and side seams give it a premium streetwear look.","6.8 oz./yd² (230g), 100% US combed ring-spun cotton, 16 singles|Heather Gray is 90/10|Relaxed fit|1"" raised neckband|Self 3/8"" shoulder binding|Dropped shoulder|Side seams|Double-needle bottom hem|Tear  away label",Made in a socially conscious manufacturing facility.,,
Next Level 7610,"A women's heavyweight boxy tee in substantial 6.8 oz. 100% combed ring-spun cotton with a relaxed, cropped-boxy silhouette. A crew neck and side seams give it a trend-right, structured look.","6.8 oz./yd², 100% combed ring-spun cotton, 16 singles|Heather Grey is 90/10|Self 3/8"" shoulder-to-shoulder binding|Crew neck|Relaxed boxy fit|Side seams",Made in a socially conscious manufacturing facility.,,
Next Level 5033,"A women's festival tank in ultra-light 3.5 oz. 65/35 poly/cotton with a soft, breezy drape. A scoop neckline, hemmed armholes and curved hem give it a relaxed festival feel.","3.5 oz./yd², 65/35 polyester/combed ring-spun cotton, 40 singles|Scoop neckline|Hemmed  neck and armholes|Side-seamed|Curved  hem",Made in a socially conscious manufacturing facility.,,
Next Level 5013,"A women's festival muscle tank in ultra-light 3.5 oz. 65/35 poly/cotton with a relaxed, sleeveless fit. Oversized armholes and a slight drop-tail hem give it an easy, festival-ready look.","3.5 oz./yd², 65/35 polyester/combed ring-spun cotton, 40 singles|Relaxed muscle fit|Hemmed oversized armholes|1x1 baby-rib set-in collar|Side-seamed|Slight drop-tail hem",Made in a socially conscious manufacturing facility.,,
Next Level 5083,"A women's festival crop tank in ultra-light 3.5 oz. 65/35 poly/cotton with a fitted, cropped silhouette. A soft, breathable hand makes it an easy festival layer.","3.5 oz./yd², 65/35 polyester/combed ring-spun cotton, 40 singles|Fitted cropped length|Side-seamed",Made in a socially conscious manufacturing facility.,,
Next Level 6600,"A women's CVC relaxed tee in soft 4.3 oz. 60/40 ring-spun cotton/polyester with a heathered, vintage-soft hand. A 1x1 baby-rib collar and side seams give it a clean, retail-ready finish.","4.3 oz./yd² (US), 7.2 oz./L yd (CA), 60/40 ring-spun cotton/polyester, 32 singles|Relaxed fit|1x1 baby-ribbed set-in collar|Side seams|Tear away label",Made in a socially conscious manufacturing facility.,,
Independent Trading Co PRM3500,"A midweight pigment-dyed crewneck sweatshirt in 9 oz. 80/20 ring-spun cotton/polyester fleece with a 100% cotton face and washed, one-of-a-kind color. Split-stitch seams and 1x1 ribbing give it a soft, durable feel.","9 oz./yd² (US), 15 oz./L yd (CA), 80/20 ring-spun cotton/polyester fleece with 100% cotton face, 30 singles|Pigment-dyed for unique character|Classic fit|Split-stitch double-needle sewing on all seams|Twill neck tape|1x1 ribbing at neck, cuffs and waistband|Woven label",Meets OEKO-TEX Standard 100 and made in a WRAP certified facility.,,
Bella/Canvas 3901,"A unisex sponge fleece raglan crewneck sweatshirt in plush 8 oz. 52/48 Airlume combed ring-spun cotton/polyester with a soft, print-ready surface. Raglan sleeves, 1x1 ribbing and a retail fit give it a modern, comfortable look.","8 oz./yd² (271g), 52/48 Airlume combed ring-spun cotton/polyester sponge fleece, 32 singles|Athletic Heather is 90/10|Heather Navy is 60/40|Crew neck|Raglan sleeves|1x1 ribbed cuffs and waistband|Side-seamed|Retail fit|Tear away label",Made in a WRAP-accredited facility; Bella+Canvas uses bluesign certified dyes.,,
Bella/Canvas 3001cvc,"Airlume combed and ring-spun cotton at 4.2 oz, knit in 32 singles, gives this heather tee an ultra-smooth surface that takes ink cleanly. Side seams and shoulder taping keep the classic unisex fit in shape. Blend shifts by heather, from 52/48 cotton-poly to 99% cotton prisms.","Side-seamed.|Shoulder taping.|Classic fit.|Unisex sizing.|Heather CVC Colors: 52% Airlume combed and ring-spun cotton, 48% polyester, 32 singles, 4.2 oz.|Athletic Heather and Black Heather CVC: 90% Airlume combed and ring-spun cotton, 10% polyester, 32 singles, 4.2 oz.|Heather Prism Colors: 99% Airlume combed and ring-spun cotton, 1% polyester, 32 singles, 4.2 oz.|Heather Prism Blue: 90% Airlume combed and ring-spun cotton, 10% polyester, 32 singles, 4.2 oz.|Sizes: XS-5XL|crew neck, tailored fit",,,https://www.bellacanvas.com/product/3001CVC/Unisex-Heather-CVC-Short-Sleeve-Tee.html
Next Level Apparel 6010,"A 4.3 oz tri-blend jersey, 50/25/25 polyester, combed ring-spun cotton and rayon, knit at 32 singles so it reads fine and smooth rather than beefy. The blend drapes close with plenty of stretch and recovery, and the crew-neck body runs XS through 3XL.","6010 Tri-Blend T-Shirt|50/25/25 blend (50% Polyester, 25% Combed Ring-Spun Cotton, 25% Rayon)|Thread Weight: 32 Singles, 145g / 4.3oz.|Crew Neck|Sizes XS-3XL|""Our smooth silky t-shirt that drapes the best. Part of our premium collection, our tri-blend has the greatest stretch and recovery.""",,,https://www.nextlevelapparel.com/products/unisex-tri-blend-t-shirt-vintage-black
Royal Apparel 5051,"A 4.4 oz/sq yd combed ring-spun cotton jersey tee, side seamed with shoulder-to-shoulder tape and a set-on rib collar. Double-needle sleeve and bottom hems hold their shape, and the tear-away label leaves a clean neck. Made in the USA; heather grey is a 90/10 cotton-poly.",FABRIC: 100% Combed Ring Spun Cotton 4.4 oz/sq yd|Heather Grey is 90% Cotton / 10% Polyester|Set on rib collar|Double needle sleeve hem & bottom hem|Tape shoulder to shoulder|Side seamed|TEAR AWAY label|MADE IN: USA,,,https://www.royalapparel.net/product/5051/Unisex-Short-Sleeve-Tee.html
Bella/Canvas 3001,"A 4.2 oz jersey knit from 100% Airlume combed and ring-spun cotton in 32 singles, giving a smooth face that takes ink cleanly. Side seams and shoulder taping keep the body from twisting, and the classic unisex fit runs XS-5XL. Ash carries 1% polyester.","Side-seamed.|Classic fit.|Unisex sizing.|Shoulder taping.|Fabrication: 100% Airlume combed and ring-spun cotton, 32 singles, 4.2 oz.|Ash: 99% Airlume combed and ring-spun cotton, 1% polyester.|Sizes: XS-5XL|Crew neck|Available in 86 unique colors","Made under ethical working conditions in facilities certified by W.R.A.P., and dyed primarily with bluesign approved dyes in California-based facilities.",,https://www.bellacanvas.com/cgi-bin/live/wam_tmpl/catalog_product_new.p?site=canvas&layout=Base&page=catalog_product_new&product=3001
Independent Trading Co SS4500,"The SS4500 is an 8.5 oz cotton/polyester fleece pullover with a 32-singles cotton face that holds ink cleanly. Split-stitch double-needle sewing runs on all seams, with twill neck tape, a tear away label and 1x1 ribbing at the cuffs and waistband. Standard fit, jersey lined hood, metal eyelets.",8.5 oz (280 gm) cotton/polyester blend fleece|jersey lined hood|split stitch double needle sewing on all seams|twill neck tape|tear away neck label|1x1 ribbing at cuffs & waistband|metal eyelets|standard fit|Solid Colors & Camo: 80% Cotton/20% Polyester with 100% Cotton 32 Singles Face Yarn for supreme print ability and softness|Safety Colors: 55% Cotton/45% Polyester|Gunmetal Heather & Grey Heather: 75% Cotton/25% Polyester with 32 Singles Face Yarn|Ash Heather: 60% Cotton/40% Polyester with 32 Singles Face Yarn|All Other Heather Colors: 55% Cotton/45% Polyester with 32 Singles Face Yarn,,,https://www.independenttradingco.com/products/ss4500
Hanes P170,"An 8 oz./yd² 50/50 US grown cotton/polyester midweight fleece built on patented low-pill, high-stitch-density PrintPro XP fabric, so the face stays smooth under ink. Classic fit, with a two-ply self-fabric hood on metal grommets, dyed-to-match tipped drawcords, ribbed cuffs and waistband, and a pouch pocket.","8 oz./yd²., 50/50 US grown cotton/polyester|Safety Green is compliant with ANSI / ISEA 107-2020 high visibility standards|Midweight|Patented low-pill, high-stitch-density PrintPro® XP fabric for easy embellishment|Classic fit|Self-fabric two ply hood with metal grommets|Dyed-to-match round and tipped drawcords|Double-needle stitched neckline and armholes|Ribbed cuffs and waistband|Pouch pocket|Tear away label",This product was made in a facility that is OEKO-TEX and FLA certified.,,https://www.ssactivewear.com/p/hanes/p170
Independent Trading Co. IND330BLV,"A 10 oz (330 gm) cotton/polyester 3-end fleece pullover cut boxy with a drop shoulder and no drawcord. Solid and pigment-dyed colors run 70/30 with a 100% cotton 32-singles face yarn, heathers 52/48. Blindstitch seams and a double layer 1-piece hood keep the build clean.","10 oz./yd² (330 gm) 70/30 ring-spun cotton/polyester blend 3-end fleece with 100% cotton face yarn, 32 singles|Deadwood Tree Camo is 70/30 cotton/polyester|Heather colors are 52/48 cotton/polyester|Boxy fit with drop shoulder|No drawcord|Double layer 1-piece hood|Blind stitch sewing on all seams for an understated simplified design|Tear away label (woven label on Pigment Black)|Please note: The pigment-dyeing process gives each garment unique character. Please allow for slight color variation in production and washing.",,,https://www.independenttradingco.com/products/ind330blv
